date	artist	song
11/15/80	Kenny Rogers	Lady
11/8/80	Barbra Streisand	Woman In Love
11/1/80	Barbra Streisand	Woman In Love
10/25/80	Barbra Streisand	Woman In Love
10/18/80	Queen	Another One Bites The Dust
10/11/80	Queen	Another One Bites The Dust
10/4/80	Queen	Another One Bites The Dust
9/27/80	Diana Ross	Upside Down
9/20/80	Diana Ross	Upside Down
9/13/80	Diana Ross	Upside Down
9/6/80	Diana Ross	Upside Down
8/30/80	Christopher Cross	Sailing
8/23/80	Olivia Newton-John	Magic
8/16/80	Olivia Newton-John	Magic
8/9/80	Olivia Newton-John	Magic
8/2/80	Olivia Newton-John	Magic
7/26/80	Billy Joel	It's Still Rock And Roll To Me
7/19/80	Billy Joel	It's Still Rock And Roll To Me
7/12/80	Paul McCartney And Wings	Coming Up (Live At Glasgow)
7/5/80	Paul McCartney And Wings	Coming Up (Live At Glasgow)
6/28/80	Paul McCartney And Wings	Coming Up (Live At Glasgow)
6/21/80	Lipps, Inc.	Funkytown
6/14/80	Lipps, Inc.	Funkytown
6/7/80	Lipps, Inc.	Funkytown
5/31/80	Lipps, Inc.	Funkytown
5/24/80	Blondie	Call Me
5/17/80	Blondie	Call Me
5/10/80	Blondie	Call Me
5/3/80	Blondie	Call Me
4/26/80	Blondie	Call Me
4/19/80	Blondie	Call Me
4/12/80	Pink Floyd	Another Brick In The Wall (Part II)
4/5/80	Pink Floyd	Another Brick In The Wall (Part II)
3/29/80	Pink Floyd	Another Brick In The Wall (Part II)
3/22/80	Pink Floyd	Another Brick In The Wall (Part II)
3/15/80	Queen	Crazy Little Thing Called Love
3/8/80	Queen	Crazy Little Thing Called Love
3/1/80	Queen	Crazy Little Thing Called Love
2/23/80	Queen	Crazy Little Thing Called Love
2/16/80	Captain & Tennille	Do That To Me One More Time
2/9/80	Michael Jackson	Rock With You
2/2/80	Michael Jackson	Rock With You
1/26/80	Michael Jackson	Rock With You
1/19/80	Michael Jackson	Rock With You
1/12/80	Rupert Holmes	Escape (The Pina Colada Song)
1/5/80	KC And The Sunshine Band	Please Don't Go
12/29/79	Rupert Holmes	Escape (The Pina Colada Song)
12/22/79	Rupert Holmes	Escape (The Pina Colada Song)
12/15/79	Styx	Babe
12/8/79	Styx	Babe
12/1/79	Barbra Streisand/Donna Summer	No More Tears (Enough Is Enough)
11/24/79	Barbra Streisand/Donna Summer	No More Tears (Enough Is Enough)
11/17/79	Commodores	Still
11/10/79	Eagles	Heartache Tonight
11/3/79	M	Pop Muzik
10/27/79	Herb Alpert	Rise
10/20/79	Herb Alpert	Rise
10/13/79	Michael Jackson	Don't Stop 'til You Get Enough
10/6/79	Robert John	Sad Eyes
9/29/79	The Knack	My Sharona
9/22/79	The Knack	My Sharona
9/15/79	The Knack	My Sharona
9/8/79	The Knack	My Sharona
9/1/79	The Knack	My Sharona
8/25/79	The Knack	My Sharona
8/18/79	Chic	Good Times
8/11/79	Donna Summer	Bad Girls
8/4/79	Donna Summer	Bad Girls
7/28/79	Donna Summer	Bad Girls
7/21/79	Donna Summer	Bad Girls
7/14/79	Donna Summer	Bad Girls
7/7/79	Anita Ward	Ring My Bell
6/30/79	Anita Ward	Ring My Bell
6/23/79	Donna Summer	Hot Stuff
6/16/79	Donna Summer	Hot Stuff
6/9/79	Bee Gees	Love You Inside Out
6/2/79	Donna Summer	Hot Stuff
5/26/79	Peaches & Herb	Reunited
5/19/79	Peaches & Herb	Reunited
5/12/79	Peaches & Herb	Reunited
5/5/79	Peaches & Herb	Reunited
4/28/79	Blondie	Heart Of Glass
4/21/79	Amii Stewart	Knock On Wood
4/14/79	The Doobie Brothers	What A Fool Believes
4/7/79	Gloria Gaynor	I Will Survive
3/31/79	Bee Gees	Tragedy
3/24/79	Bee Gees	Tragedy
3/17/79	Gloria Gaynor	I Will Survive
3/10/79	Gloria Gaynor	I Will Survive
3/3/79	Rod Stewart	Da Ya Think I'm Sexy?
2/24/79	Rod Stewart	Da Ya Think I'm Sexy?
2/17/79	Rod Stewart	Da Ya Think I'm Sexy?
2/10/79	Rod Stewart	Da Ya Think I'm Sexy?
2/3/79	Chic	Le Freak
1/27/79	Chic	Le Freak
1/20/79	Chic	Le Freak
1/13/79	Bee Gees	Too Much Heaven
1/6/79	Bee Gees	Too Much Heaven
12/30/78	Chic	Le Freak
12/23/78	Chic	Le Freak
12/16/78	Barbra Streisand & Neil Diamond	You Don't Bring Me Flowers
12/9/78	Chic	Le Freak
12/2/78	Barbra Streisand & Neil Diamond	You Don't Bring Me Flowers
11/25/78	Donna Summer	MacArthur Park
11/18/78	Donna Summer	MacArthur Park
11/11/78	Donna Summer	MacArthur Park
11/4/78	Anne Murray	You Needed Me
10/28/78	Nick Gilder	Hot Child In The City
10/21/78	Exile	Kiss You All Over
10/14/78	Exile	Kiss You All Over
10/7/78	Exile	Kiss You All Over
9/30/78	Exile	Kiss You All Over
9/23/78	A Taste Of Honey	Boogie Oogie Oogie
9/16/78	A Taste Of Honey	Boogie Oogie Oogie
9/9/78	A Taste Of Honey	Boogie Oogie Oogie
9/2/78	Frankie Valli	Grease
8/26/78	Frankie Valli	Grease
8/19/78	Commodores	Three Times A Lady
